"code_point","char","utf8","name","multiascii","ascii"
"U+00100+","Ǜ","c79b","LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE (U+01DB)","U","U"
"U+00100+","ǜ","c79c","LATIN SMALL LETTER U WITH DIAERESIS AND GRAVE (U+01DC)","u","u"
"U+00100+","ǝ","c79d","LATIN SMALL LETTER TURNED E (U+01DD)","e","e"
"U+00100+","Ǟ","c79e","LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON (U+01DE)","A","A"
"U+00100+","ǟ","c79f","LATIN SMALL LETTER A WITH DIAERESIS AND MACRON (U+01DF)","a","a"
"U+00100+","Ǡ","c7a0","LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON (U+01E0)","A","A"
"U+00100+","ǡ","c7a1","LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON (U+01E1)","a","a"
"U+00100+","Ǣ","c7a2","LATIN CAPITAL LETTER AE WITH MACRON (U+01E2)","A","AE"
"U+00100+","ǣ","c7a3","LATIN SMALL LETTER AE WITH MACRON (U+01E3)","a","ae"
"U+00100+","Ǥ","c7a4","LATIN CAPITAL LETTER G WITH STROKE (U+01E4)","G","G"
"U+00100+","ǥ","c7a5","LATIN SMALL LETTER G WITH STROKE (U+01E5)","g","g"
"U+00100+","Ǧ","c7a6","LATIN CAPITAL LETTER G WITH CARON (U+01E6)","G","G"
"U+00100+","ǧ","c7a7","LATIN SMALL LETTER G WITH CARON (U+01E7)","g","g"
"U+00100+","Ǩ","c7a8","LATIN CAPITAL LETTER K WITH CARON (U+01E8)","K","K"
"U+00100+","ǩ","c7a9","LATIN SMALL LETTER K WITH CARON (U+01E9)","k","k"
"U+00100+","Ǫ","c7aa","LATIN CAPITAL LETTER O WITH OGONEK (U+01EA)","O","O"
"U+00100+","ǫ","c7ab","LATIN SMALL LETTER O WITH OGONEK (U+01EB)","o","o"
"U+00100+","Ǭ","c7ac","LATIN CAPITAL LETTER O WITH OGONEK AND MACRON (U+01EC)","O","O"
"U+00100+","ǭ","c7ad","LATIN SMALL LETTER O WITH OGONEK AND MACRON (U+01ED)","o","o"
"U+00100+","Ǯ","c7ae","LATIN CAPITAL LETTER EZH WITH CARON (U+01EE)","Z","EZH"
